		LISTADO DE AEROPUERTOS CON CÃ“DIGO IANA

CÃ“DIGO:		NOMBRE:	CIUDAD:
TIA			Tirana Airport	Albania
FMM			Algovia Airport Memmingen	Alemania
BER			Berlín Brandeburgo Airport	Alemania
BRE			Bremen Airport	Alemania
CGN			Colonia Bonn Airport	Alemania
DTM			Dortmund Airport	Alemania
DRS			Dresde Airport	Alemania
DUS			Dusseldorf Airport	Alemania
FRA			Frankfurt Airport	Alemania
HHN			Frankfurt-Hahn Airport	Alemania
FDH			Friedrichshafen Airport	Alemania
HAM			Hamburgo Airport	Alemania
HAJ			Hanóver Airport	Alemania
FKB			Karlsruhe Baden-Baden Airport	Alemania
LEJ			Leipzig Halle Airport	Alemania
MUC			Múnich Airport	Alemania
FMO			Münster Osnabrück Airport	Alemania
NUE			Núremberg Airport	Alemania
PAD			Paderborn Lippstadt Airport	Alemania
STR			Stuttgart Airport	Alemania
NRN			Weeze Airport	Alemania
EVN			Ereván Zvartnots Airport	Armenia
GRZ			Graz Airport	Austria
INN			Innsbruck Airport	Austria
KLU			Klagenfurt Airport	Austria
LNZ			Linz Airport	Austria
SZG			Salzburgo Airport	Austria
VIE			Viena Airport	Austria
GYD			Bakú Airport	Azerbaiyán
ANR			Amberes Airport	Bélgica
BRU			Bruselas Airport	Bélgica
CRL			Charleroi Airport	Bélgica
LGG			Lieja Airport	Bélgica
OST			Ostende Brujas Airport	Bélgica
MSQ			Minsk Airport	Bielorrusia
SJJ			Sarajevo Airport	Bosnia y Herzegovina
TZL			Tuzla Airport	Bosnia y Herzegovina
BOJ			Burgas Airport	Bulgaria
SOF			Sofía Airport	Bulgaria
VAR			Varna Airport	Bulgaria
LCA			Lárnaca Airport	Chipre
PFO			Pafos Airport	Chipre
DBV			Dubrovnik Airport	Croacia
PUY			Pula Airport	Croacia
SPU			Split Airport	Croacia
ZAD			Zadar Airport	Croacia
ZAG			Zagreb Airport	Croacia
AAL			Aalborg Airport	Dinamarca
AAR			Aarhus Airport	Dinamarca
BLL			Billund Airport	Dinamarca
CPH			Copenhague Airport	Dinamarca
FAE			Vágar Airport	Dinamarca
BTS			Bratislava Airport	Eslovaquia
KSC			Koice Airport	Eslovaquia
LJU			Liubliana Airport	Eslovenia
ALC			Alicante Airport	España
LEI			Almería Airport	España
OVD			Asturias Airport	España
BCN			Barcelona Airport	España
BIO			Bilbao Airport	España
FUE			Fuerteventura Airport	España
GRO			Girona Airport	España
LPA			Gran Canaria Airport	España
GRX			Granada-Jaén Airport	España
IBZ			Ibiza Airport	España
XRY			Jerez Airport	España
SPC			La Palma Airport	España
ACE			Lanzarote Airport	España
